ネタメモ：ゾーニング,,
6,"人が辞めるときって決して理由を言ってくれないんです
何も言わず気づいたら居らんくなるんです",
7,スタッフとの距離がうまく取れんくて「何かあったら言うてな」って言葉だけが空回りしてませんか？,
8,"スタッフは、声のトーンや表情、日々の行動で
「信じてええんかな」って判断してます",
9,"現場の雰囲気って店長やオーナーの背中から伝わってしまいます
結局自分が出してる空気の写し鏡が今の状況です",
10,実際の現場から学んだ「人が辞めないチームをつくる空気」を伝えたいんですが,
11,"制度だけのチームは、「会社に居る」けど
空気がいいチームは、「人のそばに居る」ということです",
12,"職場の空気感って冷暖房と同じなんですよ
快適にしようと思ったらこまめに温度調整せなダメですよね？
放っといたらただ不快なだけです",
13,"辞めた理由は聞けても
「続けたくなる理由」は空気でしか伝わりません",
14,"誰かが無理してても声をかける人がおらん。
笑顔が減ってても誰もツッコまん。
その空気の中での制度や理念はただの文字の羅列に過ぎません",
15,"空気は日々のふるまいでしか作れないけど
「目を見て挨拶する」「ありがとうを口にする」たったそれだけでもチームは変わります",
16,"待遇じゃなくて空気で居場所を決めるて
その空気が信じたくなるかどうか",
17,まずは今日スタッフの顔をちゃんと見て感謝を伝えてみてください,
,,
ネタメモ：開業してから考えるな　今いるお客さんの視点から逆算しろ,,
シーン,①セリフを考える（ライティング）,
1,開業はゴールじゃないんです,
2,開業ってもっとワクワクするもんやと思ってたけど現実はこんなに反応薄いん？って思いませんか,
3,内装も、料理も、ロゴも、全部自分の世界観で組み上げたはず,
4,でもそれってお客さんが求めてるものとは限りません,
5,"こだわりがズレたままやと店は「なんとなく選ばれへん店」になります
リピートは減って単発のお客さんばっかりで
じわじわと経営が不安定になって最終的に自分の「こだわり」が足かせになるんです",
6,"自信持ってこだわりを発信しているお店ほど
お客様がそこに価値を感じてへんってことほんまに多いです",
7,"昔働いてた店でオーナーのこだわりが強すぎて
お客様から「入りにくい」「分かりづらい」って言われて誰も変えようとせんかったところはすぐに潰れました",
8,これはまさにお客様の目線がなかっただけでした,
9,"伝わらへん自己満足ほど現場を苦しめるものはなくて
想いは伝わって初めて意味を持つんです",
10,"今あなたのお店が「伝わってない」って感じてるなら
それはお客様の導線から見直すサインかもしれません",
11,"プロダクトアウトは「自分が主語」
マーケットインは「お客さんが主語」
飲食店経営で残るのは後者だけ",
12,"飲食店ってプレゼントと一緒で
相手のこと考えてない贈り物ってもらった人別に嬉しくないでしょ？",
13,大事なのは自分の想いより「お客様にどう届くか」を基準にすること,
14,"メニューの文字が小さい
注文の流れがわかりにくい
こう言われてませんか？
これって全部「自分基準」で作ったせいです",
15,"まずやるべきはお客さんの目線でお店を見ること
自分のお店を初来店のつもりで一周してみてください",
16,お客様目線で設計し直せば選ばれる店に変わっていきます,
17,"最後に決めるのはあなた自身です
本当にお店を続けたいなら誰のための店かをもう一回見直してください",
,,
ネタメモ：SNSなんて正直めんどい　でも伝える努力をやめへん理由,,
シーン,①セリフを考える（ライティング）,
1,SNSは飲食業の「名刺」です,
2,「毎日投稿は無理やわ」って思ってるあなたのその考えは正しいです,
3,"SNSから予約入らんし、フォロワーも伸びひんし、効果も見えにくい
そら投げたくもなりますよね",
4,でも発信やめたらお店存在してへんのと同じです,
5,投稿やめたら「潰れたん？」って言われる時代なんです,
6,伝えたいだけって言いながらほんまはちょっと「バズったらええな」って思ってません？,
